Opleidingscode;CodeOpleiding;NaamOpleiding;NaamFaculteit;CodeFaculteit
49246;AN;Advanced Nursing Practice;Gezondheidszorg;GZ
80011;OM;Management in de zorg;Management en Bedrijf;M&B
35388;GW;Lerarenopleiding Gezondheidszorg en Welzijn;Educatie;EDU
34405;CO;Communicatie;Management en Bedrijf;M&B
34617;SP;Sociaal Pedagogische Hulpverlening;Sociaal Werk/Toegepaste Psychologie;SW&TP
34808;PB;Lerarenopleiding basisonderwijs (PABO);Educatie;EDU
39205;RE;HBO - Rechten;Management en Bedrijf;M&B
35421;OK;Tweedegraads lerarenopleiding in Omgangskunde;Educatie;EDU
34570;FY;Fysiotherapie;Gezondheidszorg;GZ
34560;HV;Verpleegkunde;Gezondheidszorg;GZ
40019;JZ;Master Jeugdzorg;Sociaal Werk/Toegepaste Psychologie;SW&TP
34396;CH;Chemie;Science & Technology;S&T
34402;CE;CommerciÃ«le Economie;Management en Bedrijf;M&B
34397;BM;Biologie en Medisch Laboratoriumonderzoek;Science & Technology;S&T
34616;MW;Maatschappelijk Werk en Dienstverlening;Sociaal Werk/Toegepaste Psychologie;SW&TP
80045;GA;Onderwijsondersteuner Gezondheidszorg en Welzijn;Educatie;EDU
34479;IN;Informatica;Science & Technology;S&T
39112;DM;Docent Muziek;Educatie;EDU
80060;OA;Onderwijsondersteuner Omgangskunde;Educatie;EDU
34538;MZ;Management in de Zorg;Management en Bedrijf;M&B
34506;KT;Kunstzinnige Therapie;Gezondheidszorg;GZ
34641;SJ;Sociaal-Juridische Dienstverlening;Management en Bedrijf;M&B
34940;DD;Docent Dans;Educatie;EDU
34507;TP;Toegepaste Psychologie;Sociaal Werk/Toegepaste Psychologie;SW&TP
34609;PA;Human Resource Management;Management en Bedrijf;M&B
39215;BI;Bio-Informatica;Science & Technology;S&T
34610;CM;Culturele en Maatschappelijke Vorming;Sociaal Werk/Toegepaste Psychologie;SW&TP
34608;SW;Sociaal Werk;Sociaal Werk/Toegepaste Psychologie;SW&TP
70111;MF;Master Fysiotherapie;Gezondheidszorg;GZ
34644;VT;Vaktherapie;Gezondheidszorg;GZ
70204;3TO;Teammaster Transitie Onderw. Tech;Educatie;EDU
34578;LO;Logopedie;Educatie;EDU
04586;GPR;Propedeuse Verpleegkunde/Paramedisch;Gezondheidszorg;GZ
04181;LPR;Propedeutisch jaar HLO;Science & Technology;S&T
45288;FW;Fysiotherapie en Wijkgerichte Beweegzorg;Gezondheidszorg;GZ
70222;DF;Digital Forensics;Science & Technology;S&T
